t Fq h
5.081582 0.775630 0.050000 
5.096496 0.775052 0.050000 
5.111411 0.774474 0.050000 
5.126326 0.773897 0.050000 
5.141241 0.773320 0.050000 
5.156156 0.772744 0.050000 
5.171071 0.772168 0.050000 
5.185986 0.771592 0.050000 
5.200901 0.771017 0.050000 
5.215816 0.770442 0.050000 
5.230731 0.769868 0.050000 
5.245646 0.769294 0.050000 
5.260561 0.768720 0.050000 
5.275475 0.768147 0.050000 
5.290390 0.767575 0.050000 
5.305305 0.767002 0.050000 
5.320220 0.766431 0.050000 
5.335135 0.765859 0.050000 
5.350050 0.765288 0.050000 
5.364965 0.764718 0.050000 
5.379880 0.764148 0.050000 
5.394795 0.763578 0.050000 
5.409710 0.763009 0.050000 
5.424625 0.762440 0.050000 
5.439540 0.761872 0.050000 
5.454454 0.761304 0.050000 
5.469369 0.760736 0.050000 
5.484284 0.760169 0.050000 
5.499199 0.759603 0.050000 
5.514114 0.759036 0.050000 
5.529029 0.758470 0.050000 
5.543944 0.757905 0.050000 
5.558859 0.757340 0.050000 
5.573774 0.756775 0.050000 
5.588689 0.756211 0.050000 
5.603604 0.755648 0.050000 
5.618519 0.755084 0.050000 
5.633433 0.754521 0.050000 
5.648348 0.753959 0.050000 
5.663263 0.753397 0.050000 
5.678178 0.752835 0.050000 
5.693093 0.752274 0.050000 
5.708008 0.751713 0.050000 
5.722923 0.751153 0.050000 
5.737838 0.750593 0.050000 
5.752753 0.750033 0.050000 
5.767668 0.749474 0.050000 
5.782583 0.748915 0.050000 
5.797497 0.748357 0.050000 
5.812412 0.747799 0.050000 
5.827327 0.747242 0.050000 
5.842242 0.746685 0.050000 
5.857157 0.746128 0.050000 
5.872072 0.745572 0.050000 
5.886987 0.745016 0.050000 
5.901902 0.744461 0.050000 
5.916817 0.743906 0.050000 
5.931732 0.743351 0.050000 
5.946647 0.742797 0.050000 
5.961562 0.742243 0.050000 
5.976476 0.741690 0.050000 
5.991391 0.741137 0.050000 
6.006306 0.740585 0.050000 
6.021221 0.740033 0.050000 
6.036136 0.739481 0.050000 
6.051051 0.738930 0.050000 
6.065966 0.738379 0.050000 
6.080881 0.737828 0.050000 
6.095796 0.737278 0.050000 
6.110711 0.736729 0.050000 
6.125626 0.736180 0.050000 
6.140541 0.735631 0.050000 
6.155455 0.735082 0.050000 
6.170370 0.734534 0.050000 
6.185285 0.733987 0.050000 
6.200200 0.733440 0.050000 
6.215115 0.732893 0.050000 
6.230030 0.732347 0.050000 
6.244945 0.731801 0.050000 
6.259860 0.731255 0.050000 
6.274775 0.730710 0.050000 
6.289690 0.730165 0.050000 
6.304605 0.729621 0.050000 
6.319520 0.729077 0.050000 
6.334434 0.728533 0.050000 
6.349349 0.727990 0.050000 
6.364264 0.727448 0.050000 
6.379179 0.726905 0.050000 
6.394094 0.726363 0.050000 
6.409009 0.725822 0.050000 
6.423924 0.725281 0.050000 
6.438839 0.724740 0.050000 
6.453754 0.724200 0.050000 
6.468669 0.723660 0.050000 
6.483584 0.723121 0.050000 
6.498498 0.722582 0.050000 
6.513413 0.722043 0.050000 
6.528328 0.721505 0.050000 
6.543243 0.720967 0.050000 
6.558158 0.720429 0.050000 
6.573073 0.719892 0.050000 
6.587988 0.719356 0.050000 
6.602903 0.718819 0.050000 
6.617818 0.718284 0.050000 
6.632733 0.717748 0.050000 
6.647648 0.717213 0.050000 
6.662563 0.716678 0.050000 
6.677477 0.716144 0.050000 
6.692392 0.715610 0.050000 
6.707307 0.715077 0.050000 
6.722222 0.714544 0.050000 
6.737137 0.714011 0.050000 
6.752052 0.713479 0.050000 
6.766967 0.712947 0.050000 
6.781882 0.712415 0.050000 
6.796797 0.711884 0.050000 
6.811712 0.711354 0.050000 
6.826627 0.710823 0.050000 
6.841542 0.710293 0.050000 
6.856456 0.709764 0.050000 
6.871371 0.709235 0.050000 
6.886286 0.708706 0.050000 
6.901201 0.708178 0.050000 
6.916116 0.707650 0.050000 
6.931031 0.707122 0.050000 
6.945946 0.706595 0.050000 
6.960861 0.706068 0.050000 
6.975776 0.705542 0.050000 
6.990691 0.705016 0.050000 
7.005606 0.704491 0.050000 
7.020521 0.703965 0.050000 
7.035435 0.703441 0.050000 
7.050350 0.702916 0.050000 
7.065265 0.702392 0.050000 
7.080180 0.701869 0.050000 
7.095095 0.701345 0.050000 
7.110010 0.700823 0.050000 
7.124925 0.700300 0.050000 
7.139840 0.699778 0.050000 
7.154755 0.699256 0.050000 
7.169670 0.698735 0.050000 
7.184585 0.698214 0.050000 
7.199499 0.697694 0.050000 
7.214414 0.697174 0.050000 
7.229329 0.696654 0.050000 
7.244244 0.696135 0.050000 
7.259159 0.695616 0.050000 
7.274074 0.695097 0.050000 
7.288989 0.694579 0.050000 
7.303904 0.694061 0.050000 
7.318819 0.693544 0.050000 
7.333734 0.693027 0.050000 
7.348649 0.692510 0.050000 
7.363564 0.691994 0.050000 
7.378478 0.691478 0.050000 
7.393393 0.690963 0.050000 
7.408308 0.690447 0.050000 
7.423223 0.689933 0.050000 
7.438138 0.689418 0.050000 
7.453053 0.688904 0.050000 
7.467968 0.688391 0.050000 
7.482883 0.687878 0.050000 
7.497798 0.687365 0.050000 
7.512713 0.686853 0.050000 
7.527628 0.686341 0.050000 
7.542543 0.685829 0.050000 
7.557457 0.685318 0.050000 
7.572372 0.684807 0.050000 
7.587287 0.684296 0.050000 
7.602202 0.683786 0.050000 
7.617117 0.683276 0.050000 
7.632032 0.682767 0.050000 
7.646947 0.682258 0.050000 
7.661862 0.681749 0.050000 
7.676777 0.681241 0.050000 
7.691692 0.680733 0.050000 
7.706607 0.680226 0.050000 
7.721522 0.679719 0.050000 
7.736436 0.679212 0.050000 
7.751351 0.678706 0.050000 
7.766266 0.678200 0.050000 
7.781181 0.677694 0.050000 
7.796096 0.677189 0.050000 
7.811011 0.676684 0.050000 
7.825926 0.676180 0.050000 
7.840841 0.675676 0.050000 
7.855756 0.675172 0.050000 
7.870671 0.674669 0.050000 
7.885586 0.674166 0.050000 
7.900501 0.673663 0.050000 
7.915415 0.673161 0.050000 
7.930330 0.672659 0.050000 
7.945245 0.672158 0.050000 
7.960160 0.671657 0.050000 
7.975075 0.671156 0.050000 
7.989990 0.670656 0.050000 
8.004905 0.670156 0.050000 
8.019820 0.669656 0.050000 
8.034735 0.669157 0.050000 
8.049650 0.668658 0.050000 
8.064565 0.668160 0.050000 
8.079479 0.667661 0.050000 
8.094394 0.667164 0.050000 
8.109309 0.666666 0.050000 
8.124224 0.666169 0.050000 
8.139139 0.665673 0.050000 
8.154054 0.665177 0.050000 
8.168969 0.664681 0.050000 
8.183884 0.664185 0.050000 
8.198799 0.663690 0.050000 
8.213714 0.663195 0.050000 
8.228629 0.662701 0.050000 
8.243544 0.662207 0.050000 
8.258458 0.661713 0.050000 
8.273373 0.661220 0.050000 
8.288288 0.660727 0.050000 
8.303203 0.660235 0.050000 
8.318118 0.659742 0.050000 
8.333033 0.659251 0.050000 
8.347948 0.658759 0.050000 
8.362863 0.658268 0.050000 
8.377778 0.657777 0.050000 
8.392693 0.657287 0.050000 
8.407608 0.656797 0.050000 
8.422523 0.656307 0.050000 
8.437437 0.655818 0.050000 
8.452352 0.655329 0.050000 
8.467267 0.654841 0.050000 
8.482182 0.654352 0.050000 
8.497097 0.653865 0.050000 
8.512012 0.653377 0.050000 
8.526927 0.652890 0.050000 
8.541842 0.652403 0.050000 
